"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3132","SuperTrucks Offroad Racing","Jan 12, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meltdown Interactive Media","Meltdown Interactive Media"
"3133","Motorbike","May 9, 2011","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"3134","3D MiniGolf","May 29, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Z-Software GmbH","familyplay"
"3135","Canvas Hockey","Aug 5, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brandon Alexander Holt","Synvoyity LLC"
"3136","Pupper park","Nov 8, 2019","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sokpop Collective","Sokpop Collective"
"3137","NEOGEO POCKET COLOR SELECTION Vol. 1 Steam Edition","Sep 29, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SNK CORPORATION, Code Mystics","SNK CORPORATION"
"3138","God of Gym","Jan 3, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team KARPETTI","Team KARPETTI"
"3139","Throttle Powah VR","May 30, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Diego F Beltran, Mauricio Tunes, Luiz Zaiats, Danilo Nishimura","Diego F Beltran"
"3140","Baseball Mogul Diamond","Apr 3, 2015","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sports Mogul, Inc.","Sports Mogul, Inc."
"3141","Social Club VR : Casino Nights","Jun 21, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Perilous Orbit","Perilous Orbit"
"3143","Smash Cars","Oct 18, 2011","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Creat Studios Inc","Pom Pom Games"
"3144","Wordle 5","Oct 10, 2022","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PreoNus Games, Galina Kovaleva","Gigantum Games"
"3145","Golf Ace","May 15, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frutgames","Frutgames"
"3147","Kraken Smash: Volleyball","Jan 26, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","monome.studio","monome.studio"
"3149","Riding Seas","Jan 31, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CatOnTree Studio","Sleepy Giant Creations"
"3151","The Fastest Fist","Oct 30, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beijing Skyline Interaction Technology Co., Ltd.","Beijing Skyline Interaction Technology Co., Ltd."
"3152","Energy Hook","Jul 5, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Happion Labs","Happion Labs"
"3153","Surf World Series","Aug 30, 2017","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Climax Studios","Vision Games Publishing LTD"
"3154","Draft Day Sports: College Basketball 2020","Mar 10, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"3155","World Fighting Soccer 22","Aug 30, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Melko Game Club","Melko Game Club"
"3156","Pro Basketball Manager 2016","Jan 14, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyanide Studio, Umix Studios","Nacon"
"3157","Worldwide Sports Fishing","Feb 3, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lotte|EoD","Agger Interactive"
"3158","Drunken FC","Nov 11, 2024","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Herring Labs","Red Herring Labs"
"3159","Legendary Hunter VR","Aug 24, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LastnOni","Frozen Dreams"
"3160","Cricket Captain 2016","Jul 4, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Childish Things","KISS ltd"
"3161","Cricket Captain 2015","Jul 8, 2015","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Childish Things","KISS ltd"
"3163","Equalizer","Aug 11, 2017","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sergey Shushunov","SA Industry"
"3164","Moorhuhn X - Crazy Chicken X","Oct 8, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Higgs Games GmbH, GeekPit Studio","Higgs Games GmbH"
"3165","The Amazing Crackpots Club!","Jun 8, 2024","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Astrobard Games, IguanaBee","IguanaBee"
"3166","Catch Me!","Jan 24, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ByteRockers' Games","ByteRockers' Games"
"3168","Open Fishing XL","Jul 22, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kunstaat","Kunstaat"
"3169","Dodgeball Simulator VR","Dec 26, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wooden Anchor Games","Wooden Anchor Games"
"3170","Player's Eleven","Feb 12, 2020","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green Pitch Gaming","Green Pitch Gaming"
"3171","Baseball Mogul 2015","Apr 3, 2014","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sports Mogul, Inc.","Sports Mogul, Inc."
"3172","Cyber Rider","Aug 10, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meng Games","Meng Games"
"3173","Rugby Union Team Manager 3","Oct 8, 2020","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alternative Software Ltd","Alternative Software Ltd"
"3174","Pulseball","Oct 2, 2020","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","iamtab","iamtab"
"3175","Balling Up","Sep 25, 2024","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RedKar Devs","RedKar Devs, Hawthorn Games"
"3176","Chibi Volleyball","Jul 19, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NAISU","NAISU"
"3177","Forest Golf Planner","Jul 30, 2023","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd"
"3178","Free Kick X","Dec 17, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seito Games","Seito Games"
"3179","Weekend Warriors MMA","Feb 5, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MDickie","MDickie"
